"setting_id","truth_type","reader_miss","z_miss","replicate","method","auc","brier","x_cor","x_rmse","cx_mae"
"S3","misspecified",0.1,0,8,"Bayesian joint model",0.848202752661351,0.210145800258106,0.610047029456477,0.764277945023731,0.0710814385097583
"S3","misspecified",0.1,0,8,"Averaged-reader logistic",0.56763618547058,0.244203757921124,NA,NA,NA
"S3","misspecified",0.1,0,8,"Reader-1 logistic",0.562914792214155,0.244645527914223,NA,NA,NA
"S3","misspecified",0.1,0,9,"Bayesian joint model",0.84659495021337,0.191198582838967,0.643264910176246,0.768848939794951,0.0733794759655561
"S3","misspecified",0.1,0,9,"Averaged-reader logistic",0.625577880512091,0.237420922334265,NA,NA,NA
"S3","misspecified",0.1,0,9,"Reader-1 logistic",0.620510312944523,0.237865555525138,NA,NA,NA
"S3","misspecified",0.1,0,10,"Bayesian joint model",0.961868743047829,0.130066340334671,0.524178400664995,0.846118959418591,0.2478163090801
"S3","misspecified",0.1,0,10,"Averaged-reader logistic",0.69503893214683,0.221232597532171,NA,NA,NA
"S3","misspecified",0.1,0,10,"Reader-1 logistic",0.684538375973305,0.224195509262723,NA,NA,NA
"S3","misspecified",0.1,0,11,"Bayesian joint model",0.992118579553087,0.106526225071218,0.554934088050836,0.785414520448959,0.123341164744424
"S3","misspecified",0.1,0,11,"Averaged-reader logistic",0.686758318033228,0.222705856807603,NA,NA,NA
"S3","misspecified",0.1,0,11,"Reader-1 logistic",0.695132327258072,0.219337132970264,NA,NA,NA
"S3","misspecified",0.1,0,12,"Bayesian joint model",0.931539797781835,0.162596739777799,0.650512095912838,0.73741077706099,0.0802852597339263
"S3","misspecified",0.1,0,12,"Averaged-reader logistic",0.656006413968198,0.231166604171049,NA,NA,NA
"S3","misspecified",0.1,0,12,"Reader-1 logistic",0.632443989131887,0.235619757839631,NA,NA,NA
"S3","misspecified",0.1,0,13,"Bayesian joint model",0.92783780178738,0.166892081717922,0.627209113401741,0.786716404350236,0.0427562039813248
"S3","misspecified",0.1,0,13,"Averaged-reader logistic",0.645146947667955,0.234663560555993,NA,NA,NA
"S3","misspecified",0.1,0,13,"Reader-1 logistic",0.66057534124761,0.230113530253303,NA,NA,NA
"S3","misspecified",0.1,0,14,"Bayesian joint model",0.853526785714286,0.176354331964622,0.720321785922758,0.703338328987124,0.0827165118937988
"S3","misspecified",0.1,0,14,"Averaged-reader logistic",0.678660714285715,0.224369084878387,NA,NA,NA
